"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"075011","Campi Salentina","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",4745,,
"075011","Campi Salentina","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",5302,,
"075011","Campi Salentina","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",5237,,
"071009","Candela","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1342,,
"071009","Candela","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1331,,
"071009","Candela","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",1313,,
"071009","Candela","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",1300,,
"075013","Caprarica di Lecce","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1136,,
"075013","Caprarica di Lecce","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1139,,
"072014","Capurso","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",7460,,
"072014","Capurso","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",7487,,
"072014","Capurso","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",7782,,
"072014","Capurso","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",7835,,
"071010","Carapelle","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2019","2019",3314,,
"071010","Carapelle","JAN","popolazione al 1º gennaio","2","femmine","TOTAL","totale","99","totale","2020","2020",3308,,
"075015","Carpignano Salentino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2019","2019",1832,,
"075015","Carpignano Salentino","JAN","popolazione al 1º gennaio","1","maschi","TOTAL","totale","99","totale","2020","2020",1842,,
