;;;;;;;
Riepilogo complessivo qualita dell'aria ;;;;;;;
* Il valore fa riferimento al numero dei superamenti del PM10 nel periodo tra il 01/01/ 2019 e il 01/01/2019 ;;;;;;;
NB - Per unita di misura, valore di soglia e parametro di valutazione fare riferimento a quanto riportato sul sito web www.arpa.puglia.it - sezione aria  ;;;;;;;
Provincia: Bari ;;;;;;;
Inquinante: PM10 ;;;;;;;
;;;;;;;
NomeCentralina ;DataRilevazione ;Provincia ;Comune ;Sigla ;Valore ;Superamenti PM10* 
San Pancrazio Salentino - Deledda;2019-01-03 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;8;22
San Pancrazio Salentino - Deledda;2019-01-04 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;10;22
San Pancrazio Salentino - Deledda;2019-01-05 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;10;22
San Pancrazio Salentino - Deledda;2019-01-06 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;9;22
San Pancrazio Salentino - Deledda;2019-01-07 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;11;22
San Pancrazio Salentino - Deledda;2019-01-08 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;23;22
San Pancrazio Salentino - Deledda;2019-01-09 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;17;22
San Pancrazio Salentino - Deledda;2019-01-10 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;19;22
San Pancrazio Salentino - Deledda;2019-01-11 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;13;22
San Pancrazio Salentino - Deledda;2019-01-12 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;10;22
San Pancrazio Salentino - Deledda;2019-01-13 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;26;22
San Pancrazio Salentino - Deledda;2019-01-14 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;36;22
San Pancrazio Salentino - Deledda;2019-01-15 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;12;22
San Pancrazio Salentino - Deledda;2019-01-16 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;51;22
San Pancrazio Salentino - Deledda;2019-01-17 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;53;22
San Pancrazio Salentino - Deledda;2019-01-18 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;40;22
San Pancrazio Salentino - Deledda;2019-01-19 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;30;22
San Pancrazio Salentino - Deledda;2019-01-20 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;27;22
San Pancrazio Salentino - Deledda;2019-01-21 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;31;22
San Pancrazio Salentino - Deledda;2019-01-22 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;15;22
San Pancrazio Salentino - Deledda;2019-01-23 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;22;22
San Pancrazio Salentino - Deledda;2019-01-24 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;22;22
San Pancrazio Salentino - Deledda;2019-01-25 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;8;22
San Pancrazio Salentino - Deledda;2019-01-26 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;17;22
San Pancrazio Salentino - Deledda;2019-01-27 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;20;22
San Pancrazio Salentino - Deledda;2019-01-28 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;20;22
San Pancrazio Salentino - Deledda;2019-01-29 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;15;22
San Pancrazio Salentino - Deledda;2019-01-30 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;21;22
San Pancrazio Salentino - Deledda;2019-01-31 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;22;22
San Pancrazio Salentino - Deledda;2019-02-01 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;28;22
San Pancrazio Salentino - Deledda;2019-02-02 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;41;22
San Pancrazio Salentino - Deledda;2019-02-03 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;48;22
San Pancrazio Salentino - Deledda;2019-02-04 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;31;22
San Pancrazio Salentino - Deledda;2019-02-05 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;27;22
San Pancrazio Salentino - Deledda;2019-02-06 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;24;22
San Pancrazio Salentino - Deledda;2019-02-07 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;16;22
San Pancrazio Salentino - Deledda;2019-02-08 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;28;22
San Pancrazio Salentino - Deledda;2019-02-09 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;33;22
San Pancrazio Salentino - Deledda;2019-02-10 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;41;22
San Pancrazio Salentino - Deledda;2019-02-11 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;18;22
San Pancrazio Salentino - Deledda;2019-02-12 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;11;22
San Pancrazio Salentino - Deledda;2019-02-13 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;11;22
San Pancrazio Salentino - Deledda;2019-02-14 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;14;22
San Pancrazio Salentino - Deledda;2019-02-15 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;12;22
San Pancrazio Salentino - Deledda;2019-02-16 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;14;22
San Pancrazio Salentino - Deledda;2019-02-17 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;24;22
San Pancrazio Salentino - Deledda;2019-02-18 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;36;22
San Pancrazio Salentino - Deledda;2019-02-19 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;43;22
San Pancrazio Salentino - Deledda;2019-02-20 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;41;22
San Pancrazio Salentino - Deledda;2019-02-21 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;30;22
San Pancrazio Salentino - Deledda;2019-02-22 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;36;22
San Pancrazio Salentino - Deledda;2019-02-23 00:00:00.0;Brindisi;San Pancrazio Salentino;PM10;15;22
